0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24
0 NA 7.4 7.6 7.8 8.0 8.2 8.4 8.6 8.8 9.0 9.2 9.4 9.6 9.8 9.9 10.1 10.3 10.5 10.7 10.8 11.0 11.2 11.4 11.5
1 11.7 11.9 12.1 12.2 12.4 12.5 12.7 12.9 13.0 13.2 13.3 13.5 13.6 13.8 13.9 14.1 14.2 14.4 14.5 14.7 14.8 15.0 15.1 15.2
2 15.4 15.5 15.6 15.8 15.9 16.0 16.1 16.3 16.4 16.5 16.6 16.7 16.9 17.0 17.1 17.2 17.3 17.4 17.5 17.6 17.7 17.8 17.9 18.0
3 18.1 18.2 18.3 18.4 18.5 18.6 18.7 18.8 18.9 19.0 19.0 19.1 19.2 19.3 19.4 19.4 19.5 19.6 19.7 19.7 19.8 19.9 19.9 20.0
4 20.0 20.1 20.1 20.1 20.1 20.1 20.1 20.1 20.1 20.1 20.1 20.1 20.1 20.1 20.1 20.1 20.1 20.1 20.1 20.1 20.1 20.1 20.1 20.1
5 20.2 20.2 20.2 20.2 20.2 20.2 20.2 20.2 20.2 20.2 20.2 20.2 20.2 20.2 20.2 20.2 20.2 20.2 20.2 20.2 20.2 20.2 20.2 20.3
6 20.3 20.3 20.3 20.3 20.3 20.3 20.3 20.3 20.3 20.3 20.3 20.3 20.3 20.3 20.3 20.3 20.3 20.3 20.3 20.3 20.3 20.3 20.4 20.4
7 20.4 20.4 20.4 20.4 20.4 20.4 20.4 20.4 20.4 20.4 20.4 20.4 20.4 20.4 20.4 20.4 20.4 20.4 20.4 20.4 20.4 20.5 20.5 20.5
8 20.5 20.5 20.5 20.5 20.5 20.5 20.5 20.5 20.5 20.5 20.5 20.5 20.5 20.5 20.5 20.5 20.5 20.5 20.5 20.5 20.5 20.6 20.6 20.6
9 20.6 20.6 20.6 20.6 20.6 20.6 20.6 20.6 20.6 20.6 20.6 20.6 20.6 20.6 20.6 20.6 20.6 20.6 20.6 20.6 20.7 20.7 20.7 20.7
10 20.7 20.7 20.7 20.7 20.7 20.7 20.7 20.7 20.7 20.7 20.7 20.7 20.7 20.7 20.7 20.7 20.7 20.7 20.7 20.8 20.8 20.8 20.8 20.8
11 20.8 20.8 20.8 20.8 20.8 20.8 20.8 20.8 20.8 20.8 20.8 20.8 20.8 20.8 20.8 20.8 20.8 20.8 20.8 20.9 20.9 20.9 20.9 20.9
12 20.9 20.9 20.9 20.9 20.9 20.9 20.9 20.9 20.9 20.9 20.9 20.9 20.9 20.9 20.9 20.9 20.9 20.9 21.0 21.0 21.0 21.0 21.0 21.0
13 21.0 21.0 21.0 21.0 21.0 21.0 21.0 21.0 21.0 21.0 21.0 21.0 21.0 21.0 21.0 21.0 21.0 21.0 21.1 21.1 21.1 21.1 21.1 21.1
14 21.1 21.1 21.1 21.1 21.1 21.1 21.1 21.1 21.1 21.1 21.1 21.1 21.1 21.1 21.1 21.1 21.1 21.1 21.1 21.1 21.1 21.1 21.1 21.1
