0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24
0 NA 6.4 6.6 6.8 7.0 7.2 7.4 7.6 7.8 7.9 8.1 8.3 8.5 8.7 8.9 9.0 9.2 9.4 9.6 9.8 9.9 10.1 10.3 10.4
1 10.6 10.8 10.9 11.1 11.3 11.4 11.6 11.7 11.9 12.0 12.2 12.3 12.5 12.6 12.8 12.9 13.1 13.2 13.4 13.5 13.6 13.8 13.9 14.0
2 14.2 14.3 14.4 14.5 14.7 14.8 14.9 15.0 15.1 15.3 15.4 15.5 15.6 15.7 15.8 15.9 16.0 16.1 16.2 16.3 16.4 16.5 16.6 16.7
3 16.8 16.9 17.0 17.1 17.2 17.3 17.4 17.5 17.5 17.6 17.7 17.8 17.8 17.9 18.0 18.1 18.1 18.2 18.3 18.3 18.4 18.5 18.5 18.6
4 18.6 18.6 18.6 18.6 18.6 18.6 18.6 18.6 18.6 18.6 18.7 18.7 18.7 18.7 18.7 18.7 18.7 18.7 18.7 18.7 18.7 18.7 18.7 18.7
5 18.7 18.7 18.7 18.7 18.7 18.7 18.7 18.7 18.7 18.8 18.8 18.8 18.8 18.8 18.8 18.8 18.8 18.8 18.8 18.8 18.8 18.8 18.8 18.8
6 18.8 18.8 18.8 18.8 18.8 18.8 18.8 18.8 18.9 18.9 18.9 18.9 18.9 18.9 18.9 18.9 18.9 18.9 18.9 18.9 18.9 18.9 18.9 18.9
7 18.9 18.9 18.9 18.9 18.9 18.9 18.9 19.0 19.0 19.0 19.0 19.0 19.0 19.0 19.0 19.0 19.0 19.0 19.0 19.0 19.0 19.0 19.0 19.0
8 19.0 19.0 19.0 19.0 19.0 19.0 19.0 19.1 19.1 19.1 19.1 19.1 19.1 19.1 19.1 19.1 19.1 19.1 19.1 19.1 19.1 19.1 19.1 19.1
9 19.1 19.1 19.1 19.1 19.1 19.1 19.2 19.2 19.2 19.2 19.2 19.2 19.2 19.2 19.2 19.2 19.2 19.2 19.2 19.2 19.2 19.2 19.2 19.2
10 19.2 19.2 19.2 19.2 19.2 19.3 19.3 19.3 19.3 19.3 19.3 19.3 19.3 19.3 19.3 19.3 19.3 19.3 19.3 19.3 19.3 19.3 19.3 19.3
11 19.3 19.3 19.3 19.3 19.3 19.4 19.4 19.4 19.4 19.4 19.4 19.4 19.4 19.4 19.4 19.4 19.4 19.4 19.4 19.4 19.4 19.4 19.4 19.4
12 19.4 19.4 19.4 19.4 19.5 19.5 19.5 19.5 19.5 19.5 19.5 19.5 19.5 19.5 19.5 19.5 19.5 19.5 19.5 19.5 19.5 19.5 19.5 19.5
13 19.5 19.5 19.5 19.5 19.6 19.6 19.6 19.6 19.6 19.6 19.6 19.6 19.6 19.6 19.6 19.6 19.6 19.6 19.6 19.6 19.6 19.6 19.6 19.6
14 19.6 19.6 19.6 19.6 19.6 19.6 19.6 19.6 19.6 19.6 19.6 19.6 19.6 19.6 19.6 19.6 19.6 19.6 19.6 19.6 19.6 19.6 19.6 19.6
